73;J0117+5914;126.283;-3.457;9.858135;-5.685e-13;-3.380e-24;-999;49.42;-999;-8.10;4.100;8.300;7.60;0.30;-999;-999;2.38e+01;9.40e-01;2.21e+35;7.06e+34;7.80e+11;7.00e+03;
74;J0122+1416;134.030;-47.940;0.719946;-1.971e-15;-999;-999;17.69;-999;-999;32.000;-999;-999;-999;-999;-999;-999;-999;5.60e+31;2.24e+31;-999;8.14e+00;
75;J0125-23;189.069;-81.541;272.045181;-999;-999;-999;10.00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
76;J0125+62;126.899;-0.022;0.585400;-999;-999;-999;118.00;-999;-999;-999;-999;3.40;-999;-999;-999;1.96e+01;-999;-999;-999;-999;-999;
77;J0131-7310;298.944;-43.648;2.872539;-1.453e-14;-999;-999;205.20;-999;-999;4.800;-999;-999;0.15;-999;-999;-999;5.35e+02;1.65e+33;4.62e+29;-999;1.76e+02;
78;J0133-6957;297.691;-46.739;2.157620;-5.586e-16;-999;-999;22.95;-999;7.00;8.000;18.000;5.00;-999;-999;-999;2.98e+01;-999;4.76e+31;7.99e+30;-999;2.25e+01;
79;J0134-2937;230.251;-80.250;7.301316;-4.178e-15;-999;-999;21.81;-999;13.00;1.900;12.000;9.00;3.90;-999;-999;5.62e+03;2.44e+03;1.20e+33;1.93e+30;1.03e+11;3.83e+02;
80;J0137+1654;138.449;-44.571;2.411015;-7.109e-17;-999;-999;26.08;-999;-16.80;14.000;62.000;1.40;-999;-999;-999;1.31e+01;-999;6.77e+30;7.23e+29;-999;9.47e+00;
81;J0137+6349;127.955;1.402;1.392830;-1.862e-15;-999;-999;285.50;-999;-999;-999;-999;3.30;-999;-999;-999;2.73e+02;-999;1.02e+32;1.24e+30;-999;2.13e+01;
82;J0139+3336;134.381;-28.174;0.801307;-1.325e-15;-999;-999;21.23;-999;-999;14.000;-999;-999;-999;RRAT;-999;-999;-999;4.19e+31;1.94e+31;-999;7.83e+00;
83;J0139+5621;129.609;-5.885;0.563271;-2.510e-14;-999;-999;101.84;-999;-999;42.000;-999;0.70;0.02;-999;-999;4.07e+00;1.16e-01;5.58e+32;9.61e+31;-999;2.01e+01;
84;J0139+5814;129.216;-4.044;3.670390;-1.443e-13;1.600e-26;-999;73.81;-999;-94.13;5.200;9.600;28.00;4.60;-999;-999;1.89e+02;3.11e+01;2.09e+34;3.09e+33;1.73e+12;8.01e+02;
85;J0141+6009;129.147;-2.105;0.817696;-2.615e-16;2.700e-28;-999;34.93;-999;-48.00;34.900;104.200;49.00;4.50;-999;-999;2.59e+02;2.38e+01;8.44e+30;1.60e+30;-999;3.59e+00;
86;J0141+63;128.497;0.798;21.419753;-999;-999;-999;272.60;-999;-999;-999;-999;1.30;-999;-999;-999;1.00e+02;-999;-999;-999;-999;-999;
87;J0146+31;136.532;-30.353;1.065984;-999;-999;-999;25.00;-999;-999;20.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
88;J0146+6145;129.384;-0.431;0.115088;-2.640e-14;-999;-999;-999;-999;-999;-999;-999;-999;-999;AXP,NRAD;3;-999;-999;1.20e+32;9.26e+30;1.33e+14;1.90e+00;
89;J0147+5922;130.059;-2.723;5.093689;-6.662e-15;3.390e-26;-999;40.11;-999;-19.00;7.000;10.100;6.60;2.10;-999;1;2.99e+01;9.51e+00;1.34e+33;2.96e+32;2.27e+11;2.81e+02;
90;J0151-0635;160.368;-65.004;0.682750;-2.063e-16;5.400e-27;-999;25.66;-999;2.00;117.200;112.100;38.00;1.60;-999;-999;2.38e+04;1.00e+03;5.56e+30;8.90e+27;8.03e+11;2.43e+00;
91;J0152+0948;146.812;-50.221;0.364080;-2.253e-16;-999;-999;22.88;-999;1.40;11.000;103.000;0.91;-999;-999;-999;5.60e+00;-999;3.24e+30;5.27e+29;-999;9.89e-01;
92;J0152-1637;179.306;-72.457;1.200853;-1.874e-15;-4.980e-27;-999;11.93;-999;6.60;14.600;26.100;20.00;2.10;-999;-999;1.69e+01;1.78e+00;8.88e+31;1.05e+32;1.05e+12;1.71e+01;
93;J0154+1833;143.185;-41.810;422.909914;-5.220e-16;-999;-999;19.80;0.001;21.60;-999;-999;-999;-999;-999;-999;-999;-999;8.72e+33;3.32e+33;5.38e+07;5.96e+04;
94;J0156+04;151.975;-55.155;-999;-999;-999;-999;27.50;-999;-999;3.800;-999;-999;-999;RRAT;-999;-999;-999;-999;-999;-999;-999;
95;J0156+3949;136.369;-21.332;0.552010;-4.620e-17;1.300e-27;-999;59.83;-999;-68.58;-999;-999;4.00;-999;-999;-999;9.68e+01;-999;1.01e+30;4.16e+28;-999;8.36e-01;
96;J0157+6212;130.586;0.326;0.425216;-3.416e-14;-2.190e-26;-999;30.21;-999;-29.00;33.400;118.900;6.50;1.90;-999;1;2.07e+01;6.06e+00;5.73e+32;1.80e+32;2.13e+13;1.54e+01;
97;J0158+21;143.208;-39.084;1.979022;-999;-999;-999;20.00;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
98;J0201+7005;128.889;8.033;0.741188;-3.029e-15;-999;-999;21.03;-999;-999;-999;-999;-999;-999;RRAT;-999;-999;-999;8.86e+31;6.48e+31;-999;1.05e+01;
99;J0205+6449;130.719;3.084;15.217011;-4.487e-11;5.852e-21;-999;140.70;-999;-999;2.300;-999;-999;0.04;HE;2;-999;4.61e-01;2.70e+37;2.63e+36;3.61e+12;1.19e+05;
100;J0206-4028;258.595;-69.633;1.585914;-3.010e-15;-999;-999;12.90;-999;-4.00;4.900;20.000;11.00;0.80;-999;-999;1.75e+01;1.27e+00;1.88e+32;1.19e+32;8.78e+11;3.29e+01;
101;J0210+58;133.113;-2.557;0.566155;-999;-999;-999;76.70;-999;-999;53.000;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;-999;
